,premise1,premise2,conclusion
1473,climate means the average temperature / weather in an area,winter has cold temperatures / weather,winter can cause the climate in an area to become cold
99,drier means lower in amount of water / wetness / moisture,the moon has less water / air than the earth,the moon is drier than the earth
1527,white fur is a kind of protection against predators in the snow,snowy environments have a large amount of snow,white fur is a kind of protection against predators in a snowy environment
4955,a scar on the knee is a kind of scar,a scar is an acquired characteristic,a scar on the knee is an acquired characteristic
627,inventing paper allows paper to be used,if something is allowed to be used then the use of that something might increase,inventing paper might increase the use of paper
3809,shaking is a kind of moving,shivering is a kind of shaking,shivering is a kind of moving
2520,special tissues in plants transport materials throughout the plant,xylem is a kind of special tissue in vascular plants,xylem transports materials through the plant
4750,the nervous system contains nerve cells,nerve cells conduct messages in the body,the nervous system conducts messages in the body
263,the formation of diamonds requires intense pressure,the pressure is intense deep below earth 's crust,the formation of diamonds occurs deep below the crust of the earth
2046,photosynthesis stores energy,respiration releases energy,photosynthesis stores energy and respiration releases energy
1039,condensing means a substance changes from a gas into a liquid by decreasing heat energy,water is a kind of substance,water condensing is when water changing from a gas into a liquid by decreasing heat energy
1766,mosquitos eat their food source,mosquitos eat blood of animals,animals are a source of food for mosquitos
2195,muscles require energy to move bones,muscle cells are a part of muscles,muscle cells require energy for muscle movement
1536,hiding can be used for avoiding predators,avoiding predators has a positive impact on an organism 's survival,hiding has a positive impact on an organism's survival
2392,sunlight is a kind of solar energy,photosynthesis means green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves,photosynthesis means plants convert carbon dioxide and water and sunlight into carbohydrates and food and oxygen
2877,animals sitting on command is an example of animals following order,a dog is a kind of animal,a dog sitting on command is an example of a dog following order
4574,a paper clip is a kind of object,a paper clip is often made of magnetic metals / ferromagnetic metals,a paper clip is an object made of magnetic metals
4037,energy comes from food,healing requires rest / nutrients / energy,energy for healing comes from food
4418,pollution has a negative impact on the environment / air quality / water quality / society,runoff from a cropland causes water pollution,runoff from cropland has a negative impact on water quality
483,gasoline is a kind of resource,"as the use of a resource decreases , the length of time that resource being available will increases","as the use of gasoline decreases, the length of time that gasoline is available will increase"
3626,a cake is a kind of baked product,baking is when a human makes food by adding heat,a cake is a product made by human adding heat to it
4150,yard is an imperial unit used for measuring length,meters m are a metric / si unit used for measuring length,yard and meter are both unit used for measuring length
3005,a car fender is sometimes made of metal,metal rusts,a car fender might rust
3220,boiling means matter / a substance changes from a liquid into a gas by increasing heat energy,water is a kind of substance,water boiling is when water changes from a liquid into a gas
1269,a spoon is a kind of thermal conductor,if a thermal conductor is exposed to a source of heat then that conductor may become hot / warm,"if a spoon is exposed to a source of heat, then the conductor may become hot"
3128,the nucleus of an atom is positve in electric charge,the nucleus is the center of an atom,the positive charge is concentrated in the center of an atom
2560,cooking food prevents food poisoning,preventing something is a kind of method of protection against that something,cooking food protects against food poisoning
4454,a submarine is an object that will descend in water to explore the ocean,"as an object descends into water , the pressure on that object will increase","as a submarine descends into water, the water pressure on the submarine will increase"
2029,breathing out is when animals expel carbon dioxide from their lungs into the air,"if something is expelled in a process, then that something is a waste product of that process",carbon dioxide is a waste product of the breathing process
1442,two birds are in different taxonomic families,two birds developed in separate environments under similar environmental pressures,two birds from different taxonomic families developed in separate environments under similar environmental pressures
2127,if something releases something else then that something is the source of that something else,the endocrine system is a source of hormones,the endocrine system releases hormones
2922,the offspring of the red flowered plant and white flowered plant will 100% be heterozygous dominant,red flower is a dominant trait in some plant,the offspring of the red flowered plant and white flowered plant will 100% be red
2826,oxygen being low in availablilty has a negative impact on fish,danger has a negative impact on a thing,oxygen being low in availabliltyis a danger to fish
1611,a hare is a kind of animal,an animal is a kind of organism,a hare is a kind of organism
3720,classifying is when one sorts something by type,a class of something means a type of something,classifying is when one sorts something by class
2027,an animal requires oxygen for survival / to breathe,if something is required by something else then that something must be provided to that somethign else,oxygen must be provided to animals in order for them to breathe / survive
4523,a panel is a kind of object,black objects absorb the most amount of sunlight,a black panel will absorb the most amount of sunlight
856,the mantle and the crust are different media,waves travel at different speed in different medium,waves will travel at different speed in the mantle and the crust
840,aluminum cans are recyclable,recyclable means a material can be recycled / reused many times,aluminum cans can be recyled many times
2426,plants are a source of sugar through photosynthesis,plants are a source of oxygen through photosynthesis,plants are a source of oxygen and sugar through photosynthesis
2184,moving parts of something helps to move that something,a skeletal system is a part of an animal,moving an animal's skeletal system helps to move that animal
1328,a soccer ball is a kind of ball,a ball is a kind of object,a soccer ball is a kind of object
614,a watch requires electrical energy to operate,if something is required then that something must be provided,a watch must be provided with electrical energy
526,a solar panel uses solar energy to produce electrical energy,solar energy is a renewable / inexhaustible resource,a solar panel uses a renewable resource to produce electrical energy
3539,a magnet attracts magnetic metals / ferromagnetic metals through magnetism,an object is attracted to a magnet,the object is made of a magnetic material
2183,the muscular system push / pull bones to move the bones,skeletal system is made of bones,the muscular system push / pull parts of the skeletal system to move the skeletal system
1545,snow falls during the winter in some environments,camouflage is a kind of adaptation for hiding in an environment,camouflage can be a kind of adaptation for hiding in snow in winter environments
3039,magnesium is flammable,magnesium is a kind of substance,magnesium is a flammable substance
1422,a human requires energy for growth and repair,food is a source of energy for humans,humans require energy from food for growth and repair
4128,the temperature of 120 c is above 100 c,"water is in the gas state , called water vapor, for temperatures above 100 c",the water will be water vapor when the temperature is 120 c
2277,cellular repiration produces energy by extracting energy from food,all cells perform cellular respiration,all cells produce energy by extracting energy from food
3971,wings and feathers are used to fly by birds,"if something is used by an organism for a process, then that something has a positive impact on that organism's ability to perform that process",wing and feathers have a positive impact on a bird's ability to fly
2891,genes are passed from a mother and a father to offspring through the egg and sperm,genes determine the traits for the living things,traits are passed from a mother and a father to offspring through the egg and sperm
3751,solar energy is a renewable / inexhaustible resource,solar energy is a kind of energy,solar energy is a kind of renewable resource and a kind of energy
2936,eye color is an inherited characteristic of human,a child is a kind of young human,the eye color of a child is an inheried characteristic
24,new york state is a state located in the united states of america,"when the season changes , the amount of daylight will change","when the season changes, the amount of daylight in new york state will change"
1566,an example of camouflage is an animal rapidly changing into the color of the environment,camouflage is used for hiding by animals from predators,rapidly changing into the color of the environment is used by animals to hide from predators
4015,vacuoles are the organelles that store water and food for potato cells,starch is a kind of food,vacuoles are the organelles that store water and starch for potato cells
1889,resources are generally abiotic factors of an environment and organisms are biotic features of an environment,changes to abiotic factors in an environment affect biotic factors in that environment,changes to resources in an environment affect organsims in that environment
2451,reproduction is required for the survival of a species,a redwood tree and a wildflower both have the ability to reproduce,a redwood tree and a wildflower both have the ability to reproduce in order to suvive
3210,"helium, neon, argon, krypton, xenon, and radon have complete outer electron shells","if the outermost electron shell of an atom is complete, then the element of those atoms will not react with other elements easily","helium, neon, argon, krypton, xenon, and radon will not react with other elements easily"
535,sunlight is a kind of solar energy,solar energy is a renewable / inexhaustible resource,sunlight is a kind of renewable resource
1523,an example of camouflage is organism having the same color as its environment,an animal is a kind of organism,an example of camouflage is an animal having the same color as its environment
4913,producers are a source of nutrients for animals,an animal / living thing requires nutrients for survival,an animal requires nutrients from producers
130,nuclear fusion in the core of the sun generates energy for the sun,nuclear fusion converts hydrogen into helium,the nuclear fusion in the core of the sun converts hydrogen into helium
3941,different availabilty of water in different types of soil impact plant growth,different amounts of nutrients in different types of soil impact plant growth,type of soil impacts plant growth through amount of nutrients and availability of water
3138,placing a blanket on fire cuts off the oxygen required for fire to burn,if something is required for a process then keeping that something from reaching that process can stop that process,placing a blanket on fire will stop the fire from burning
3882,a forest is dark in color,a forest is a kind of environment,a forest environment is dark in color
1305,"if the tire overheats, some chemical in the tire will vaporized","if the temperature of the tire keeps increasing, the tire will overheat","if the temperature of the tire keeps increasing, some chemical in the tire will be vaporized"
2840,a rose is a kind of plant,a plant requires nutrients to grow,a rose requires nutrients to grow
1503,coloration has a positive impact on an animal's ability to attract a mate / reproduce,an adaptation has a positive impact on an animal 's ability to reproduce,coloration is a kind of adaptation for attracting a mate / reproduction
3542,iron nails are magnetic,a magnet attracts magnetic metals,a magnet will attract an iron nail
200,spring tides occur during a full moon,spring tide is when the distance between high tide and low tide is the greatest,the highest tides occur during a full moon
2852,a bird and a rabbit are living things,a seed is a kind of living thing,"a bird, a rabbit, and a seed are living things"
2023,the respiratory system takes oxygen from the environment into the body and converts it to carbon dioxide by breathing,breathing out is when animals expel carbon dioxide from their body into the environment,the respiratory system takes oxygen from the environment into the body and expels carbon dioxide from the body into the environment by breathing
472,if something is emitted at a location then that something can be found at that location,energy formed by magma heating earth's crust is emitted along fault lines,energy formed by magma heating earth's crust can be found along fault lines
