,premise1,premise2,conclusion
3140,"sodium hydroxide, aluminum, and water are combined",hydrogen is produced,"hydrogen is produced when sodium, aluminum, and water are combined"
266,the property of something is the same for the things of same kind,color is a property of a material,the color property of the same material will be the same
240,the environment has changed from a body of water to mountains,environments are found on the crustal surface of earth,the environments on the crustal surface of earth have changed from a body of water to mountains
1358,feathers are a part of a bird,fur is usually part of a mammal,fur is a part of mammals and feathers are a part of birds
3788,notebook paper is recyclable,recyclable means a material can be recycled / reused many times,notebook paper can be recycled many times
4864,a needle is a part of a pine tree,a needle is a kind of leaf,a needle is a kind of leaf that is a part of a pine tree
3839,the rainbow is made of all different colors in visible light,refraction of light can split light into lights of different color,a rainbow is formed by refraction of light by separating light / splitting light into all different colors
3926,hot weather means high temperatures,"as the temperature of an environment increases, the temperature of the water in that environment increases",hot weather causes the temperature of water in an environment to increase
1733,predators eat prey,eating prey requires catching prey,predators must catch prey to eat prey
1251,sound requires matter to travel,a vacuum has no matter in it,sound cannot travel through a vacuum
5064,comparing a property of different objects requires measuring that property for each object,mass is a property of objects,comparing the mass of different objects requires measuring the mass for each object
2414,a plant is a kind of organism,"if an organism uses a process to convert something to something else, then that something is required by that organism for that process",if a plant uses a process to convert something into something else then that something is required by that plant for that process
3031,wood burns,wood chips are made of wood,wood chips burn
2525,an animal / living thing requires nutrients for survival,an animal needs to eat food for nutrients,an animal requires food for survival
4886,if a living thing takes in something to perform a process then that something is required for that process,absorbing something is a kind of method for taking in something,if a living thing absorbs something to perform a process then that something is required for that process
2421,photosynthesis is a kind of process in which plants convert carbon dioxide and water and solar energy into carbohydrates and food ans oxygen for themselves,if a plant uses a process to convert something into something else then that plant is a source of that something else through that process,plants are a source of carbohydrates through photosynthesis
3790,10 to 30 seconds is a short amount of time,an earthquake usually occurs over a period of 10 to 30 seconds,an earthquake usually occurs in a short amount of time
4871,if a living thing requires something then an increase in that something has a positive impact on that living thing's survival,an aquatic animal / aquatic plant requires great amounts of water to survive / thrive,an increase in water has a positive impact on an aquatic animal's survival
5071,a ruler is used for measuring the length of an object,a seashell is a kind of object,a ruler can be used for measuring the length of a seashell
2178,the nervous system can be used to control the muscles of the body to help the body move,the muscular system contains muscles,the nervous system can be used to control the muscular system of the body to help the body move
4815,a leaf uses chlorophyll to produce carbohydrates,carbohydrates are made of sugars,a leaf uses chlorophyll to produce sugar
4732,losing their liver has a negative impact on the survival of an animal,a human is a kind of animal,losing their liver has a negative impact on the survival of a human
2613,decomposition is when a decomposer breaks down dead organisms,decomposer is a kind of role in the food chain process / in an ecosystem,the role of decomposers in the food chain process is to break down dead organisms
3886,a bear is a kind of organism,an example of camouflage is organism having the same color as its environment,an example of camouflage is a bear having the same color as its environment
3201,elements in the same group on the periodic table of elements have similar properties,"calcium / beryllium belongs to alkaline earth metal family , group 2 on the periodic table",beryllium has the most similar chemical properties to calcium
650,resources need to be managed,an example of managing / maintaining the number / the use of something is replacing that something,an example of managing the use of a resource is replacing that resource
4167,different solids will have the same physical properties,an mixture is formed by two or more substances combined together physically,different solids that are combined will become a mixture
210,the grand canyon is a kind of canyon,most canyons are formed by flowing rivers through erosion over long periods of time,the grand canyon is formed by flowing rivers through erosion over long periods of time
45,new york state experiences seasons on earth,earth 's tilt on its rotating axis causes seasons to occur,earth's tilt on its rotating axis causes seasons to occur in new york state
1078,rotation is a kind of motion,an electric motor is a part of an electric fan for rotating the vanes in the fan,the electric motor in the fan causes the vanes in the fan to move
4336,thermal conduction will occur when tectonic plates conduct heat through collision,subduction is when one tectonic plate collides with another tectonic plate,subduction may cause thermal conduction
588,trees slow the rate of soil erosion,if something slows the rate of something else then increasing that something will slow the rate of that something else,increasing the number of trees slows the rate of soil erosion
384,a collision is a kind of convergence,the collision of tectonic plates changes the order of the rock layers by compressing rock layers into faults and folds,the convergence of tectonic plates changes the order of rock layers by compressing rock layers into faults and folds
4481,fog can be formed by water vapor from the oceans condensing in the air,water vapor is formed by water evaporating,fog can be formed by ocean water evaporating and then condensing in the air
2812,a decrease of prey will decrease predator,population is a measure of the number of a species in an environment,a decrease of prey populations will decrease predator populations
133,blue stars are the hottest in temperature,blue is a kind of color,stars that are blue in color are hottest in temperature
1744,an animal requires food for survival,a resource is something that is required for survival,food is a resource for animals
2121,an example of a physical change is changing something's shape,squeezing an object can cause that object 's shape to change,an example of a physical change is squeezing something
649,frame construction predominates in areas with an abundance of wood,new england has an abundance of wood,frame construction predominates in the new england area because that area has an abundance of wood
2477,bees have a positive impact on plant reproduction,helping something has a positive impact on that something,bees help plant reproduction
4946,plant reproduction requires pollinating animals for pollination,a bee can help on pollination by carrying pollen,a bee can help on pollination in plant reproduction by carry pollen
3309,water will change from a liquid to a solid by decreasing heat energy,temperature is a measure of heat energy,water will change from a liquid to a solid by decreasing the temperature
4625,webbed feet have a positive impact on an aquatic animal's survival,an adaptation has a positive impact on an animal 's survival,webbed feet are a kind of adaptation for aquatic animals
